method,label,precision,recall,f1_score,support
base,toxic,0.8883,0.9252,0.9064,3034
base,severe_toxic,0.5823,0.4531,0.5097,320
base,obscene,0.8415,0.8415,0.8415,1653
base,insult,0.7575,0.7473,0.7523,1559
base,identity_hate,0.7027,0.3969,0.5073,262
back_translation,toxic,0.8785,0.9318,0.9044,3034
back_translation,severe_toxic,0.5663,0.4406,0.4956,320
back_translation,obscene,0.8386,0.8361,0.8373,1653
back_translation,insult,0.7578,0.7447,0.7512,1559
back_translation,identity_hate,0.7339,0.3473,0.4715,262
zero_shot,toxic,0.8857,0.9268,0.9058,3034
zero_shot,severe_toxic,0.5867,0.4125,0.4844,320
zero_shot,obscene,0.8555,0.824,0.8394,1653
zero_shot,insult,0.7639,0.7223,0.7425,1559
zero_shot,identity_hate,0.7067,0.4046,0.5146,262
llm,toxic,0.8836,0.9232,0.903,3034
llm,severe_toxic,0.5372,0.4969,0.5162,320
llm,obscene,0.8471,0.8379,0.8425,1653
llm,insult,0.7594,0.7287,0.7437,1559
llm,identity_hate,0.7286,0.3893,0.5075,262
